,,UNIQUE DATE,avg CH4 (ppm),AT (C),H2S (ppb),RH (%),SO2 (ppb),WD (deg),WD_STD (deg),avg WS (km/h),WS_STD (km/h),BP_2 (mB),DEW_2 (C),PAR_16 (umol m-2 s-1),avg SR_29 (W/m2),VW20 (km/h),VW20_STD (km/h),GR (W/m2)
0,0,2019-03-24,2.187,2.45,0.425,60.275,0.4,146.25,19.225,9.175,2.3,986.75,-5.3625,39.77825,24.7305,0.375,1.525,3.55
1,1,2019-03-25,2.195357143,3.064285714,0.928571429,70.07857143,5.792857143,162.6142857,22,8.885714286,2.521428571,978.4285714,-2.063428571,113.1320714,63.14121429,-0.05,1.457142857,65
3,4,2019-03-28,2.067,0.7,0.4,65,0.8,198,55.9,5.6,3.1,980,-5.657,105.1,62.61,0.2,0.6,89.3
1,5,2019-03-29,2.049,4.5,0.3,37.4,3.1,140.7,16,11,3.3,987,-8.28,56.53,32.76,0.3,1.5,11
1,6,2019-03-30,2.055,3.3,0.6,49.3,15.1,142.9,19.9,14.7,4.1,983,-7.327,0.008,0.016,0.4,1.7,0
8,14,2019-04-07,2.125,1.5,0.4,92.3,1.8,172.2,59.2,1.8,1.4,967,0.385,0.007,0.008,0.1,0.5,0
1,15,2019-04-08,2.185666667,1.166666667,0.4,94.1,0.333333333,158.0666667,57.43333333,2.1,1.466666667,969.6666667,0.807666667,40.15833333,22.95066667,-0.066666667,1.1,50.06666667
2,17,2019-04-10,2.0575,6.85,0.45,76.35,0.85,167.8,51.05,6.6,1.85,975,2.86,169.015,95.76,0.3,1,69.05
1,18,2019-04-11,2.07,10.4,0.55,55.375,5.625,162.775,55.425,6.75,3.125,975.5,2.11825,451.4885,271.0105,0.025,1.625,197.1
1,19,2019-04-12,2.437666667,11.32222222,1.577777778,38.37777778,15.26666667,171.5444444,31.46666667,8.522222222,3.088888889,969.8888889,-4.712333333,431.7927778,272.7127778,-0.344444444,1.844444444,256
1,20,2019-04-13,2.051833333,12.58333333,0.316666667,32,2.716666667,148.7333333,28.71666667,12.2,4.483333333,960.8333333,-3.541333333,387.5683333,233.5695,0.383333333,2.15,318.0166667
